TAG,TIME,R1,R2,R3,R4,R5
EVENT 1,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 2,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 3,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 4,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 5,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 6,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 7,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 8,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 9,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 10,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 1,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 2,1000MS,OFF,OFF,RANDOM 66.7%,RANDOM 66.7%,OFF
EVENT 3,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 4,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 5,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 6,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 7,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 8,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 9,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 10,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 1,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 2,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 3,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 4,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 5,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 6,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 7,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 8,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 9,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
EVENT 10,1000MS,OFF,OFF,RANDOM 66.7%,OFF,OFF
